Region,Year ,Month,Price
Bel Air,2008,1,1452100
Boyle Heights,2008,1,363200
Central City,2008,1,378700
Century City,2008,1,743500
Crenshaw,2008,1,443900
Downtown,2008,1,561500
Eagle Rock,2008,1,525900
Echo Park,2008,1,526200
Harbor City,2008,1,395400
Highland Park,2008,1,460300
Hollywood,2008,1,599100
Hyde Park,2008,1,417000
Jefferson Park,2008,1,454700
Koreatown,2008,1,542200
Los Feliz,2008,1,731500
Mid City,2008,1,566000
Mid Wilshire,2008,1,683800
Palms,2008,1,621600
Pico-Union,2008,1,457700
Sawtelle,2008,1,595100
Silver Lake,2008,1,638900
Southeast Los Angeles,2008,1,368600
West Adams,2008,1,473500
Westwood,2008,1,709400
Bel Air,2008,3,1415600
Boyle Heights,2008,3,351700
Central City,2008,3,372900
Century City,2008,3,743900
Crenshaw,2008,3,432600
Downtown,2008,3,553000
Eagle Rock,2008,3,512500
Echo Park,2008,3,501600
Harbor City,2008,3,388800
Highland Park,2008,3,447000
Hollywood,2008,3,581800
Hyde Park,2008,3,398100
Jefferson Park,2008,3,434300
Koreatown,2008,3,523300
Los Feliz,2008,3,719300
Mid City,2008,3,549600
Mid Wilshire,2008,3,676900
Palms,2008,3,612200
Pico-Union,2008,3,457900
Sawtelle,2008,3,585200
Silver Lake,2008,3,627600
Southeast Los Angeles,2008,3,355700
West Adams,2008,3,447300
Westwood,2008,3,694100
Bel Air,2008,5,1399700
Boyle Heights,2008,5,325600
Central City,2008,5,355300
Century City,2008,5,718200
Crenshaw,2008,5,420100
Downtown,2008,5,543200
Eagle Rock,2008,5,493200
Echo Park,2008,5,475200
Harbor City,2008,5,374100
Highland Park,2008,5,430100
Hollywood,2008,5,561900
Hyde Park,2008,5,368400
Jefferson Park,2008,5,416600
Koreatown,2008,5,502000
Los Feliz,2008,5,701800
Mid City,2008,5,528000
Mid Wilshire,2008,5,672000
Palms,2008,5,596900
Pico-Union,2008,5,444300
Sawtelle,2008,5,571900
Silver Lake,2008,5,611800
Southeast Los Angeles,2008,5,334200
West Adams,2008,5,428900
Westwood,2008,5,676400
Bel Air,2008,7,1355800
Boyle Heights,2008,7,299700
Central City,2008,7,334600
Century City,2008,7,700300
Crenshaw,2008,7,400400
Downtown,2008,7,536700
Eagle Rock,2008,7,470000
Echo Park,2008,7,456900
Harbor City,2008,7,354600
Highland Park,2008,7,411900
Hollywood,2008,7,541600
Hyde Park,2008,7,342400
Jefferson Park,2008,7,396000
Koreatown,2008,7,482600
Los Feliz,2008,7,687700
Mid City,2008,7,511700
Mid Wilshire,2008,7,657900
Palms,2008,7,574400
Pico-Union,2008,7,428800
Sawtelle,2008,7,559200
Silver Lake,2008,7,588800
Southeast Los Angeles,2008,7,308100
West Adams,2008,7,411800
Westwood,2008,7,652600
Bel Air,2008,9,1307400
Boyle Heights,2008,9,289600
Central City,2008,9,315100
Century City,2008,9,694900
Crenshaw,2008,9,376400
Downtown,2008,9,521600
Eagle Rock,2008,9,448100
Echo Park,2008,9,441400
Harbor City,2008,9,338000
Highland Park,2008,9,395600
Hollywood,2008,9,522100
Hyde Park,2008,9,319300
Jefferson Park,2008,9,368700
Koreatown,2008,9,464900
Los Feliz,2008,9,678500
Mid City,2008,9,499300
Mid Wilshire,2008,9,617300
Palms,2008,9,553700
Pico-Union,2008,9,408200
Sawtelle,2008,9,561300
Silver Lake,2008,9,571200
Southeast Los Angeles,2008,9,280100
West Adams,2008,9,393200
Westwood,2008,9,649300
Bel Air,2008,11,1276000
Boyle Heights,2008,11,278400
Central City,2008,11,291900
Century City,2008,11,686600
Crenshaw,2008,11,361400
Downtown,2008,11,507400
Eagle Rock,2008,11,434700
Echo Park,2008,11,434400
Harbor City,2008,11,329600
Highland Park,2008,11,377900
Hollywood,2008,11,507800
Hyde Park,2008,11,296400
Jefferson Park,2008,11,342900
Koreatown,2008,11,446000
Los Feliz,2008,11,679900
Mid City,2008,11,488200
Mid Wilshire,2008,11,577400
Palms,2008,11,538400
Pico-Union,2008,11,387000
Sawtelle,2008,11,565800
Silver Lake,2008,11,564500
Southeast Los Angeles,2008,11,255300
West Adams,2008,11,370600
Westwood,2008,11,654100
Bel Air,2009,1,1248500
Boyle Heights,2009,1,261000
Central City,2009,1,265800
Century City,2009,1,696200
Crenshaw,2009,1,346000
Downtown,2009,1,503900
Eagle Rock,2009,1,422200
Echo Park,2009,1,424700
Harbor City,2009,1,315100
Highland Park,2009,1,360200
Hollywood,2009,1,501100
Hyde Park,2009,1,278000
Jefferson Park,2009,1,318900
Koreatown,2009,1,434900
Los Feliz,2009,1,666600
Mid City,2009,1,471900
Mid Wilshire,2009,1,558700
Palms,2009,1,526900
Pico-Union,2009,1,370700
Sawtelle,2009,1,562600
Silver Lake,2009,1,555300
Southeast Los Angeles,2009,1,229000
West Adams,2009,1,341600
Westwood,2009,1,655100
Bel Air,2009,3,1237700
Boyle Heights,2009,3,244400
Central City,2009,3,244700
Century City,2009,3,720400
Crenshaw,2009,3,336000
Downtown,2009,3,498600
Eagle Rock,2009,3,412500
Echo Park,2009,3,415500
Harbor City,2009,3,302500
Highland Park,2009,3,350200
Hollywood,2009,3,495500
Hyde Park,2009,3,267400
Jefferson Park,2009,3,301200
Koreatown,2009,3,429000
Los Feliz,2009,3,662100
Mid City,2009,3,456600
Mid Wilshire,2009,3,545100
Palms,2009,3,523200
Pico-Union,2009,3,354800
Sawtelle,2009,3,563100
Silver Lake,2009,3,558000
Southeast Los Angeles,2009,3,209300
West Adams,2009,3,319900
Westwood,2009,3,650000
Bel Air,2009,5,1213200
Boyle Heights,2009,5,235600
Central City,2009,5,221500
Century City,2009,5,707800
Crenshaw,2009,5,328500
Downtown,2009,5,490700
Eagle Rock,2009,5,410100
Echo Park,2009,5,409700
Harbor City,2009,5,299100
Highland Park,2009,5,338500
Hollywood,2009,5,495600
Hyde Park,2009,5,253800
Jefferson Park,2009,5,287700
